dataset id,app name,personal data categories,login categories,personal data targets,unspecific data categories,personal data usage mentioned in app description,source of rating information,reasonableness of personal data collection,secure data transmission,notes,rater,,,
9224,Beauty Tips Full : How to become more beautiful...,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
9271,Best Diet Foods,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
9842,Amazing Human Calculator FREE,None,None,None,"Analytics, Advertisers / Marketeers",0,"Description, Screenshots",0,,Input Birthdate and get fancy fact on how many times you inhaled since then and so on,Thomas,,,
10108,Anatomy Pronunciations Lite,None,None,None,,0,"Description, Screenshots",,,Guide,Thomas,,,
10638,ABG,"Body specs,Vital values",None,None,None,1,"App downloaded,HTTP Proxy",1,,,Thomas,,,
10954,Health Tip of the Day,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
10955,Health Tips 1000,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
12029,Instant Heart Rate - Heart Rate Monitor by Azumio Free,Vital values,None,None,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",1,,,Thomas,,,
12357,Lexicomp,Medication intake,E-Mail,"App provider,Advertisers / Marketeers,Research Projects",None,0,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
12442,Legal Maps,None,None,,,,"Description, Screenshots",,,,Thomas,,,
12757,Marijuana Handbook Lite,None,None,,,,"Description, Screenshots",,,,Thomas,,,
13523,Medscape,"Address,Life status specs,Medication intake",E-Mail,"App provider,Advertisers / Marketeers,Research Projects","Analytics, Advertisers / Marketeers",0,"App downloaded,HTTP Proxy,Privacy policy",,1,,Thomas,,,
13632,Mental Illness,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
13760,Mind Tricks,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
14188,Medical Encyclopedia,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
14732,Nursing Central,None,E-Mail,,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
14910,My Baby Today,"Body specs,Life status specs",E-Mail,App provider,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",1,0,,Thomas,,,
15019,"Monthly Cycles - Period Tracker, Menstrual Calendar &amp; Ovulation / Fertility Diary","Body specs,Symptoms,Life status specs",None,App provider,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",1,1,,Thomas,,,
15277,My Pregnancy Today,None,E-Mail,,"Analytics, Advertisers / Marketeers",,"App downloaded,HTTP Proxy",,0,,Thomas,,,
15318,My Cycles Period and Ovulation Tracker,"Life status specs,Address",E-Mail,App provider,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",0,1,,Thomas,,,
15469,Period Tracker (Pink Pad Free),Life status specs,"E-Mail, Facebook","App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",1,0,,Thomas,,,
15851,Phobias,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
15994,Orasphere,None,None,,,,"Description, Screenshots",,,Shows images of teeth,Thomas,,,
16386,Relax Completely,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
16388,Relax Dream,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
16412,Relax with Andrew Johnson Lite,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
16414,Relax Waterfall,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
16432,Relax Ocean Waves,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
16437,Relax Raindrops,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
16438,Relax Peace,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
16792,ReachMD CME,Unknown,E-Mail,Unknown,None,,"Description, Screenshots",,,App does not load on iPhone 4s,Thomas,,,
16895,Prognosis : Your Diagnosis,Symptoms,"Google, Facebook",App provider,Advertisers / Marketeers,0,"App downloaded,HTTP Proxy",1,0,,Thomas,,,
17006,PubMed On Tap Lite,None,None,None,Analytics,,"App downloaded,HTTP Proxy",,,,Thomas,,,
17073,Psych Drugs,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
17315,Pregnancy (BabyBump),"Life status specs,Vital values,Body specs,Symptoms","E-Mail, Facebook","App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",0,1,,Thomas,,,
17383,Sleepmaker Waves Free,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
17385,Sleepmaker Wildlife Free,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
17387,Sleepmaker Storms Free,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
17389,Sleepmaker Streams Free,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
17393,Sleepmaker Rain Free,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
17687,Silent Island Relaxation Lite,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
17837,Skyscape Medical Resources,Address,E-Mail,"App provider,Advertisers / Marketeers",Analytics,0,"App downloaded,HTTP Proxy,Privacy policy",0,0,,Thomas,,,
18231,RxmindMe Prescription / Medicine Reminder and Pill Tracker,Medication intake,E-Mail,"App provider,Advertisers / Marketeers",None,1,"App downloaded,HTTP Proxy,Privacy policy",0,0,,Thomas,,,
18258,Running Log Free,Workout / Activities,None,None,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",1,,,Thomas,,,
18773,"Teen BMI (Find out how your WEIGHT, HEIGHT and BMI compares with others of the same age)",None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
18891,Taber's Medical Dictionary for Mobile + Web,None,Unknown,None,None,,"Description, Screenshots",,,,Thomas,,,
18963,Symptom Checker .MD,Symptoms,"E-Mail, Facebook",App provider,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",0,1,,Thomas,,,
19125,Stress Check,"Symptoms,Life status specs",None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
19222,STAT ICD-9 LITE,None,None,None,Analytics,,"App downloaded,HTTP Proxy",,,,Thomas,,,
19336,Speed Bones Lite (Quiz),None,None,,None,,"Description, Screenshots",,,,Thomas,,,
19398,X-rays,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
19615,"Waterlogged - Drink More Water, Track Daily Water Intake, Use Remiders",Food intake,E-Mail,App provider,Analytics,1,"App downloaded,HTTP Proxy",1,1,,Thomas,,,
19670,WebMD,"Symptoms,Life status specs,Medication Intake,Symptoms",E-Mail,"App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
19671,WebMD for iPad,"Symptoms,Life status specs,Medication Intake,Symptoms",E-Mail,"App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
21113,3D Brain,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
21295,3D4Medical's Images - iPad edition,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
21981,BMI Calculator,None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
22090,BMIapp,None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
22092,Bmi/BodyFat Calculator+More,Body specs,,,"Analytics, Advertisers / Marketeers",,"App downloaded,HTTP Proxy",,,,Thomas,,,
22549,C25K™ - 5K Trainer FREE,None,None,None,"Analytics, Advertisers / Marketeers",,"App downloaded,HTTP Proxy",,,,Thomas,,,
22670,Baby Names+,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
23513,Custom Sounds of Nature - Lite,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
23677,CorePower Yoga,None,None,None,Advertisers / Marketeers,0,Description,,,,Thomas,,,
24320,Calorie Counter and Diet Tracker by MyFitnessPal HD,"Body specs,Life status specs,Food intake,Workout / Activities","E-Mail, Facebook",App provider,None,1,"App downloaded,HTTP Proxy",1,1,,Thomas,,,
24321,Calorie Counter by FatSecret,"Body specs,Life status specs,Food intake,Workout / Activities",E-Mail,App provider,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",1,1,,Thomas,,,
24324,Calorie Counter &amp; Diet Tracker by MyFitnessPal,"Body specs,Life status specs,Food intake,Workout / Activities","E-Mail, Facebook",App provider,None,1,"App downloaded,HTTP Proxy",1,1,,Thomas,,,
24329,Calorie Counter*,"Body specs,Life status specs,Food intake,Workout / Activities","E-Mail, Facebook, Google+","App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",1,0,,Thomas,,,
24331,Calorie Counter by MyNetDiary,"Body specs,Food intake",E-Mail,"App provider,Advertisers / Marketeers,Research Projects",Analytics,1,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
24332,Calorie Counter by FatSecret for iPad,"Body specs,Life status specs,Food intake,Workout / Activities",E-Mail,App provider,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",1,1,,Thomas,,,
24457,Contraction Timer Free,None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
24715,Cigarettes Lite,None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
25077,Fitness Muscle,None,None,None,"Analytics, Advertisers / Marketeers",,"App downloaded,HTTP Proxy",,,,Thomas,,,
25351,FemCal Lite: Period and Ovulation Calendar,None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
25365,Fearless Brain Free,None,None,None,"Analytics, Advertisers / Marketeers",,"App downloaded,HTTP Proxy",,,,Thomas,,,
25447,First Aid by American Red Cross,None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
25520,Dream: Free,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
25855,Electric Sheep,None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
25931,Endomondo Sports Tracker,"Body specs,Workout / Activities,Food intake","E-Mail, Facebook","App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",0,1,,Thomas,,,
26040,Easy Recipes: See How to Cook Healthy Meals (Videos),None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
26989,GoMeals,"Body specs, Food intake,Vital values,Workout / Activities",E-Mail,"App provider,Advertisers / Marketeers",Analytics,1,"App downloaded,HTTP Proxy,Privacy policy",0,1,,Thomas,,,
27150,Footsteps - Pedometer Free,Workout / Activities,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
27266,Food Labels With Nutritional Facts,None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
27502,Free Personality Quiz,None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
28801,Horoscope & WhereFortune: based on your physical location.,"Address,Body specs",E-Mail,Unknown,"Analytics, Advertisers / Marketeers",0,"App downloaded,HTTP Proxy",0,1,,Thomas,,,
28803,Human Body Facts!,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
29052,My Days - Period &amp; Ovulation ™,"Life status specs,Vital values,Symptoms",None,None,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",1,,,Thomas,,,
29496,Men's Health Mag,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
29876,MapMyFITNESS GPS Tracking,"Body specs, Food intake,Vital values,Workout / Activities","E-Mail, Facebook","App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
29880,MapMyRIDE GPS Cycling,"Body specs, Food intake,Vital values,Workout / Activities","E-Mail, Facebook","App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
29882,MapMyRUN GPS Running,"Body specs, Food intake,Vital values,Workout / Activities","E-Mail, Facebook","App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
30100,Lose the Belly (Weight Loss for Men),None,None,None,None,,"App downloaded,HTTP Proxy,Privacy policy",,,,Thomas,,,
30102,Lose It!,"Body specs,Food intake,Workout / Activities",E-Mail,"App provider,Advertisers / Marketeers",Analytics,1,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
30105,Lose the Belly (Weight Loss for Women),None,None,None,None,,"App downloaded,HTTP Proxy,Privacy policy",,,,Thomas,,,
30179,LIVESTRONG.COM - Calorie Tracker LITE - Your Free Diet and Fitness Calorie Counter for Better Health,"Food intake,Workout / Activities,Body specs","E-Mail, Facebook","App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
30562,Period Tracker Lite,"Symptoms,Life status specs",E-Mail,"App provider, Unknown","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",1,0,,Thomas,,,
30581,Period Planner Lite,Life status specs,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
30940,Nutrisystem,"Body specs,Food intake,Workout / Activities","E-Mail, Facebook",App provider,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
31224,Nike+ Running,"Address,Workout / Activities",E-Mail,"App provider,Advertisers / Marketeers",Analytics,1,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
31234,Nike Training Club,"Address,Workout / Activities",E-Mail,"App provider,Advertisers / Marketeers",Analytics,1,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
31382,Naturespace: Relax Meditate Escape Sleep (3D Sound - The most effective audio therapy for stress rel...,None,None,None,None,,"Description, Screenshots",,,,Thomas,,,
31570,My24,None,None,None,Analytics,,"App downloaded,HTTP Proxy",,,,Thomas,,,
31763,Shake and Squeeze Stress Ball,None,None,None,None,,"Description, Screenshots",,,,Thomas,,,
32067,Sleep Pillow Sounds: white noise machine lite,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
32120,SleepStream Classic Lite,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
32401,Sports Tracker,"Body specs,Workout / Activities,Food intake","E-Mail, Facebook","App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
32474,Splash 'n' Dash Free,None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
32991,Strava Cycling,Workout / Activities,"E-Mail, Facebook, Google",,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
33172,Pregnancy Tracker from WhatToExpect.com,Family,None,None,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",1,,,Thomas,,,
33579,Quitter,None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
33586,R-U-Buzzed? BAC Calculator,None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
33693,Prêt-à-Yoga Lite,None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
33847,Relaxing Sounds Of Nature Lite (help with meditation relaxation sleep and spa),None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
33883,"Relax Melodies: A white noise ambience for sleep, meditation &amp; yoga",None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
34128,Relax & Sleep Well by Glenn Harrold: A Relaxation Self-Hypnosis Meditation,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
34144,"Relax Melodies HD: A white noise ambience for sleep, meditation &amp; yoga",None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
34510,"RunKeeper - Track GPS Running, Walking, Cycling and more!",Workout / Activities,"E-Mail, Facebook","App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
34596,White Noise Lite,None,None,None,Advertisers / Marketeers,0,"Screenshot, Description",,,,Thomas,,,
34751,What Women Want(USA),None,None,None,"Analytics, Advertisers / Marketeers",,"App downloaded,HTTP Proxy",,,,Thomas,,,
34892,Woodya Run,None,None,None,"Analytics, Advertisers / Marketeers",,"App downloaded,HTTP Proxy",,,,Thomas,,,
34907,WomanLog Calendar,Life status specs,None,None,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",1,1,,Thomas,,,
34957,Workout Trainer,Workout / Activities,"E-Mail, Facebook","App provider,Advertisers / Marketeers","Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
35084,Your Ideal Weight,Body specs,None,None,"Analytics, Advertisers / Marketeers",1,"App downloaded,HTTP Proxy",1,,,Thomas,,,
35146,Yoga at Home: Videos for Beginners,None,None,None,Advertisers / Marketeers,,"App downloaded,HTTP Proxy",,,,Thomas,,,
35263,ZYRTEC AllergyCast,Symptoms,None,None,Advertisers / Marketeers,1,"App downloaded,HTTP Proxy,Privacy policy",1,0,,Thomas,,,
35893,"5K Runner: 0 to 5K run training, free",Workout / Activities,"E-Mail, Facebook",App provider,Analytics,1,"App downloaded,HTTP Proxy",1,1,,Thomas,,,
36064,Tao Te Ching - Chinese Wisdom,None,None,None,None,,"Description, Screenshots",,,,Thomas,,,
36228,Test of Life,None,None,None,None,,"Description, Screenshots",,,,Thomas,,,
36246,THI Personal Trainer Lite,Workout / Activities,None,None,None,1,"App downloaded,HTTP Proxy",1,,,Thomas,,,
36678,True Weight Lite,None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
36965,Vibrating Massager FREE,None,None,None,None,,"Description, Screenshots",,,,Thomas,,,
37098,Virtual Weight Loss Model Lite,None,None,None,None,,"App downloaded,HTTP Proxy",,,,Thomas,,,
37233,Walgreens,Medication intake,E-Mail,App provider,Analytics,1,"App downloaded,HTTP Proxy,Privacy policy",1,1,,Thomas,,,
37502,eMoods Bipolar Mood Tracker,"Symptoms, Medication intake",None,,Analytics,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
37744,Pill Reminder,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
37869,AnabolicMinds.com,,None,App provider,"Advertisers / Marketeers, Analytics",0,"Screenshots, App downloaded, HTTP Proxy",0,0,Identität,Joel,,,
38180,PubMed Mobile,,None,App provider,"Advertisers / Marketeers, Analytics",0,"Screenshots, App downloaded, HTTP Proxy",,0,,Joel,,,
38228,Sleepmeter Free,Sleep Metrics,None,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
38363,Lady Cycle Lite,"Life status specs, Symptoms, Body specs",None,,Analytics,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
38390,OvuView - Period Tracker,"Life status specs, Symptoms, Body specs",None,App provider,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",1,0,,Joel,,,
38391,Walkroid - simple pedometer,Workout / Activities,,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
38542,Sleepmeter Widget,Sleep Metrics,None,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
38543,Lightning Bug - Sleep Clock,,None,,Analytics,0,"Screenshots, App downloaded, HTTP Proxy",,,Standort,Joel,,,
38565,Move! Bike Computer,Workout / Activities,None,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
38906,Heart ECG Handbook - Lite,,None,App provider,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,0,,Joel,,,
39065,Relaxing massage,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,Standort,Joel,,,
39104,Building A Perfect Body Plan,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,umbenannt? Dream Body Workout Plan,Joel,,,
39224,Gym Guide,,None,,,0,"Screenshots, App downloaded, HTTP Proxy",,,übernommen von Kaleb makes apps,Joel,,,
39225,GPS Walk and Run Tracker,Workout / Activities,None,,Analytics,1,"Screenshots, App downloaded, HTTP Proxy",0,,Identität,Joel,,,
39306,Alcohol Calculator,"Body specs, Life status specs, Food intake",None,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,